koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
0.0000,0,1,0,0,0.0000,0.0000,0.2916,0.3447,387.6580000,2174.4263000,2317.00,2,55,1,0.00030,295.814540,47.690350,15.341,15.798,15.293,15.145,15.053,14.200,13.863,13.727,0.000,19.720965300,47.69027590,-0.12350,-0.26670,-5.000000e-04,-2.000000e-03,0.0030,0.0050,0.0060,-0.0180,-0.2030,0.2030
0.0000,0,1,0,0,0.0000,0.0000,0.2075,0.4900,43.1625000,258.8247000,303.40,1,66,1,0.01120,297.154420,47.668701,15.788,16.529,15.724,15.470,15.290,14.176,13.688,13.555,0.000,19.810292770,47.66863050,-0.09200,-0.25000,7.000000e-04,8.000000e-04,-0.0400,-0.0040,0.0400,0.0170,0.0010,0.0170
1.0000,0,0,0,0,0.0000,0.0000,0.1263,0.6019,9.6169240,71.4800500,87.20,1,144,1,0.05040,288.138240,47.724449,15.302,16.111,15.240,14.955,14.765,13.672,13.120,13.033,0.037,19.209215400,47.72450600,-0.05000,0.20000,3.400000e-04,1.900000e-04,-0.0590,-0.0080,0.0590,0.0420,0.3440,0.3460
1.0000,0,0,0,0,0.0000,0.0000,0.0628,0.6908,6.8768310,52.3693900,65.40,1,215,1,1.00000,283.710880,47.863270,15.784,16.838,15.758,15.332,15.100,14.001,13.370,13.231,0.770,18.914050500,47.86320500,-0.32000,-0.24000,-1.700000e-04,-1.000000e-04,0.1100,0.0100,0.1100,-0.1900,-0.2400,0.3000
0.0000,0,1,1,1,0.0000,0.0000,0.1496,0.5746,5.5084010,34.5709040,48.20,1,501,1,0.05050,283.765470,47.804298,15.269,16.070,15.204,14.926,14.789,13.732,13.212,13.140,0.000,18.917658000,47.80415000,-1.47000,-0.53000,4.700000e-04,1.900000e-04,1.0800,2.1900,2.4400,0.8900,2.3200,2.4900
1.0000,0,0,0,0,0.0000,0.0000,0.1860,0.5256,6.0370364,48.5041960,60.60,3,247,1,0.77220,292.376130,47.880989,15.416,15.988,15.363,15.172,15.093,14.114,13.724,13.633,0.002,19.491722400,47.88088300,-0.71000,-0.38000,5.500000e-04,3.000000e-04,0.0400,-0.0200,0.0400,-0.0200,-0.0300,0.0400
0.9800,0,0,0,0,0.0000,0.0000,0.1860,0.5256,4.5118856,22.7491510,28.90,3,322,2,0.92300,292.376130,47.880989,15.416,15.988,15.363,15.172,15.093,14.114,13.724,13.633,0.464,19.491748000,47.88110000,0.20000,0.38000,-8.000000e-05,-1.300000e-04,-0.2300,0.3500,0.4200,-0.2400,0.3400,0.4200
0.9710,0,0,0,0,0.0000,0.0000,0.1860,0.5256,4.4343820,9.7768520,14.10,3,141,3,0.77420,292.376130,47.880989,15.416,15.988,15.363,15.172,15.093,14.114,13.724,13.633,0.013,19.491847000,47.88095000,3.80000,-0.10000,-7.200000e-04,2.000000e-05,-0.1100,-0.1400,0.1800,-0.1500,-0.1500,0.2200
,0,1,0,0,0.0000,0.0000,0.2251,0.4707,,,994.00,1,,1,,292.273740,37.671558,12.394,12.933,12.322,12.163,12.094,11.151,10.808,10.720,0.002,19.484915120,37.67157860,-0.00800,0.06700,-7.000000e-04,6.000000e-04,0.0010,0.0370,0.0370,0.0010,0.1630,0.1630
1.0000,0,0,0,0,0.0000,0.0000,0.1451,0.5820,5.9119440,24.5407300,34.30,4,62,1,0.61830,290.465120,47.929180,15.377,16.172,15.343,15.036,14.826,13.810,13.298,13.201,0.103,19.364357000,47.92911000,0.54000,-0.26000,-6.400000e-04,0.000000e+00,-0.1000,-0.0400,0.1100,-0.2800,-0.2300,0.3600
1.0000,0,0,0,0,0.0000,0.0000,0.1860,0.5256,4.1325640,24.2833270,28.20,1,208,1,0.03600,297.808260,47.946671,15.861,16.577,15.805,15.554,15.445,14.448,14.018,13.903,0.998,19.853891000,47.94662000,0.26000,-0.17000,2.000000e-05,1.000000e-05,-0.1400,0.1700,0.2200,-0.0600,0.1000,0.1100
1.0000,0,0,0,0,0.0000,0.0000,0.2676,0.3928,6.7006826,52.9132420,61.80,1,311,1,0.43020,294.265810,49.314091,15.356,15.926,15.314,15.112,15.033,14.121,13.756,13.769,0.000,19.617710600,49.31410200,-0.33000,0.04000,7.300000e-04,6.000000e-05,0.0030,-0.0650,0.0660,-0.0150,0.1580,0.1580
0.0000,0,0,1,0,0.0000,0.0000,0.2711,0.3858,9.7877320,130.6654000,181.10,1,882,1,1.00000,295.665220,49.351009,15.525,16.051,15.474,15.299,15.230,14.266,13.905,13.821,0.000,19.711035900,49.35118900,0.76900,0.64300,-1.740000e-03,-1.500000e-03,0.9980,0.8210,1.2920,0.8770,0.7340,1.1440
0.0000,0,1,1,0,0.0000,0.0000,0.2111,0.4955,70.6430200,96.9623600,642.70,1,3,1,0.00010,296.698610,49.316479,15.207,15.533,14.917,15.068,14.960,13.678,13.317,13.254,0.000,19.779891600,49.31660100,-0.55100,0.43500,1.750000e-02,-4.900000e-03,-1.2860,0.2270,1.3060,-1.0470,0.3100,1.0920
0.0000,0,1,0,0,0.0000,0.0000,0.3029,0.3239,31.0798440,73.1038900,85.30,1,13,1,0.85130,283.725920,49.479519,15.250,15.689,15.199,15.062,15.033,14.203,13.851,13.848,0.156,18.915049000,49.47959700,-0.43000,0.28000,1.000000e-03,-9.000000e-04,0.0630,-0.0550,0.0830,-0.0690,-0.0280,0.0740
1.0000,0,0,0,0,0.0000,0.0000,0.2240,0.4695,10.3528980,31.9464870,34.70,1,37,1,0.38890,291.722020,49.480869,15.172,15.654,15.089,14.965,14.874,13.962,13.639,13.497,0.000,19.448144200,49.48061800,0.36000,-0.91000,6.700000e-04,-1.040000e-03,-0.8500,1.5400,1.7600,-0.0100,0.0400,0.0400
0.9920,0,0,0,0,0.0000,0.0000,0.1451,0.5820,11.9181610,37.8775670,51.20,3,26,2,0.15510,286.999480,48.375790,15.841,16.559,15.770,15.534,15.368,14.363,13.868,13.785,0.123,19.133286100,48.37579000,-0.43000,0.00000,1.110000e-03,1.200000e-04,0.1200,0.0000,0.1200,0.0700,0.0300,0.0800
1.0000,0,0,0,0,0.0000,0.0000,0.1451,0.5820,5.8342640,35.9625200,47.10,3,167,3,0.75870,286.999480,48.375790,15.841,16.559,15.770,15.534,15.368,14.363,13.868,13.785,0.236,19.133287800,48.37583200,-0.36000,0.15000,4.200000e-04,-9.000000e-05,0.0300,0.0500,0.0600,-0.0200,0.0500,0.0500
1.0000,0,0,0,0,0.0000,0.0000,0.1496,0.5746,8.4689950,31.0665070,33.20,1,65,1,0.85550,297.025630,48.478588,15.390,16.223,15.342,15.033,14.903,13.855,13.323,13.214,0.167,19.801708000,48.47849000,-0.03000,-0.36000,-2.000000e-05,5.400000e-04,-0.0600,-0.2100,0.2200,-0.1800,-0.0800,0.1900
1.0000,0,0,0,0,0.0000,0.0000,0.2521,0.4210,14.0889000,61.3723030,80.00,2,34,1,0.63860,285.718540,48.505859,15.082,15.640,15.040,14.842,14.765,13.824,13.370,13.299,0.047,19.047895100,48.50581200,-0.25000,-0.17000,7.900000e-04,-1.600000e-04,0.0370,0.0700,0.0800,0.1210,-0.0900,0.1500
0.9780,0,0,0,0,0.0000,0.0000,0.2521,0.4210,6.9461374,14.6785950,19.10,2,11,2,0.76680,285.718540,48.505859,15.082,15.640,15.040,14.842,14.765,13.824,13.370,13.299,0.599,19.047889000,48.50571000,-0.50000,-0.52000,4.100000e-04,1.600000e-04,-0.3600,-0.4100,0.5500,-0.3500,-0.5500,0.6500
1.0000,0,0,0,0,0.0000,0.0000,0.2602,0.4096,58.7647440,670.4895000,696.50,1,269,1,0.05170,292.167050,48.727589,15.263,15.715,15.209,15.069,15.041,14.123,13.815,13.805,0.705,19.477804010,48.72756620,0.00000,-0.08600,1.100000e-04,-7.000000e-05,-0.0180,0.0120,0.0220,-0.0210,-0.0770,0.0800
0.0000,0,1,1,0,0.0000,0.0000,0.2327,0.4526,5.0446610,39.7450680,48.30,1,387,1,0.33750,297.923650,48.777321,15.540,16.164,15.463,15.272,15.182,14.090,13.724,13.742,0.000,19.861797100,48.78151000,7.84000,15.08000,-6.080000e-03,-1.249000e-02,3.3900,5.4800,6.4500,3.4600,5.5200,6.5100
1.0000,0,0,0,0,0.0000,0.0000,0.2889,0.3511,4.4358330,26.5015810,29.50,1,238,1,0.16940,298.456850,48.791592,15.395,15.874,15.335,15.190,15.084,14.199,13.853,13.807,0.281,19.897146000,48.79174000,0.83000,0.54000,-2.400000e-04,-1.000000e-04,0.0900,-0.1200,0.1500,0.1800,0.0400,0.1900
0.0000,0,1,0,0,0.0000,0.0000,0.2889,0.3511,85.4664300,509.4985000,513.40,1,59,1,0.52240,291.093900,48.933842,15.536,16.020,15.488,15.329,15.243,14.322,14.024,13.921,0.518,19.406257630,48.93383380,-0.05900,-0.02200,2.100000e-04,-2.000000e-04,0.0060,0.0000,0.0060,-0.0280,0.0330,0.0430
1.0000,0,0,0,0,0.0000,0.0000,0.2676,0.3928,46.4750860,163.4761400,166.70,3,244,1,0.22650,287.887330,46.276241,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,0.000,19.192488200,46.27619200,0.00700,-0.17500,-5.200000e-05,-1.370000e-04,-0.0300,0.0800,0.0800,-0.1600,-0.1800,0.2400
0.9980,0,0,0,0,0.0000,0.0000,0.2240,0.4695,27.7885970,124.5249200,141.10,1,33,1,0.47760,295.555050,49.017342,15.400,16.068,15.320,15.114,14.996,13.948,13.596,13.519,0.043,19.703669900,49.01729700,0.00000,-0.15000,-2.200000e-04,-4.000000e-04,-0.0290,-0.0720,0.0780,-0.0490,-0.0690,0.0850
1.0000,0,0,0,0,0.0000,0.0000,0.2521,0.4210,5.6967807,36.3497400,43.40,1,127,1,0.50470,285.499240,49.277351,15.317,15.862,15.267,15.083,14.985,13.996,13.582,13.533,0.645,19.033292000,49.27737500,0.32000,0.09000,-2.500000e-04,-9.000000e-05,0.0000,0.0900,0.0900,0.0400,-0.1700,0.1700
1.0000,0,0,0,0,0.0000,0.0000,0.3024,0.3288,9.3875550,94.7097900,128.60,1,323,1,0.60430,291.936160,49.253979,15.506,15.977,15.453,15.305,15.253,14.380,14.083,14.198,0.431,19.462413300,49.25400100,0.07000,0.07000,-1.200000e-04,-9.000000e-05,-0.0340,0.0090,0.0350,-0.0660,0.0360,0.0750
1.0000,0,0,0,0,0.0000,0.0000,0.2291,0.4603,104.6468100,1328.3038000,1406.80,1,474,1,0.79980,297.015470,49.225288,15.052,15.636,14.988,14.802,14.685,13.732,13.393,13.315,0.000,19.801040300,49.22537810,0.33860,0.31700,-3.400000e-04,6.900000e-04,-0.0240,-0.0070,0.0250,0.0320,0.1590,0.1620
0.0000,0,1,1,0,0.0000,0.0000,0.1646,0.5508,52.8612400,193.4089000,236.10,1,31,1,0.02990,284.172330,49.360722,15.716,16.453,15.673,15.400,15.253,14.249,13.732,13.748,0.000,18.944909500,49.36081300,3.10100,0.33600,-2.470000e-02,-1.600000e-03,3.2540,0.1630,3.2580,3.3530,0.0660,3.3530
0.0140,0,1,0,0,0.0000,0.0000,0.2965,0.3342,115.6427800,1044.7283000,835.60,1,180,1,0.07860,288.986820,49.733742,15.270,15.712,15.224,15.080,14.994,14.143,13.789,13.699,0.000,19.265786460,49.73368410,-0.05400,-0.20100,1.280000e-02,4.100000e-03,-0.0680,-0.0350,0.0760,-0.1050,-0.0610,0.1220
0.0000,0,1,0,0,0.0000,0.0000,0.2865,0.3556,97.3520050,691.1691000,745.20,1,117,1,0.87960,289.235530,50.241001,15.562,16.096,15.528,15.333,15.219,14.305,13.944,13.930,0.553,19.282370640,50.24094790,0.09100,-0.18800,-2.500000e-04,0.000000e+00,-0.0110,0.0040,0.0120,-0.0260,-0.0980,0.1010
1.0000,0,0,0,0,0.0000,0.0000,0.1496,0.5746,6.0310416,63.5879500,82.40,2,578,1,0.68180,293.833310,50.230350,15.334,16.110,15.283,15.001,14.882,13.810,13.300,13.195,0.000,19.588892500,50.23022600,0.16000,-0.45000,6.000000e-05,4.500000e-04,0.0270,0.0500,0.0610,0.3570,0.2000,0.4100
0.9930,0,0,0,0,0.0000,0.0000,0.1496,0.5746,3.2751372,9.1666000,13.70,2,168,2,0.40490,293.833310,50.230350,15.334,16.110,15.283,15.001,14.882,13.810,13.300,13.195,0.058,19.588885000,50.22996000,-0.10000,-1.40000,1.600000e-04,7.500000e-04,-0.5100,-0.4900,0.7100,0.0800,-0.3800,0.3900
0.8710,0,0,0,0,0.0000,0.0000,0.2676,0.3928,3.8943021,7.4337807,8.70,3,357,3,0.02280,287.887330,46.276241,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,0.858,19.192473000,46.27616000,-0.60000,-0.30000,1.200000e-05,-3.000000e-06,0.0100,-0.0500,0.0500,-0.1100,-0.3000,0.3000
1.0000,0,0,0,0,0.0000,0.0000,0.3872,0.3156,11.4613360,62.3762250,71.00,1,115,1,0.65520,296.221950,50.287220,15.937,17.501,16.140,15.267,14.795,13.474,12.813,12.628,0.178,19.748149500,50.28747500,0.63000,0.92000,-2.900000e-04,6.000000e-04,0.0590,-0.0300,0.0660,0.2900,0.6280,0.6900
1.0000,0,0,0,0,0.0000,0.0000,0.2965,0.3342,20.5373460,210.2215900,221.10,1,205,1,0.56110,290.098050,50.321609,15.312,15.797,15.275,15.104,15.030,14.071,13.793,13.686,0.013,19.339871100,50.32158200,0.01600,-0.09900,4.400000e-04,-7.000000e-05,-0.0330,-0.0400,0.0520,-0.0090,-0.1810,0.1810
1.0000,0,0,0,0,0.0000,0.0000,0.2240,0.4695,24.6395030,234.9598700,312.10,1,188,1,0.13220,295.455290,50.494560,15.080,15.690,14.996,14.819,14.745,13.732,13.402,13.260,0.000,19.697026100,50.49465000,0.23400,0.32300,6.600000e-04,6.400000e-04,-0.0540,-0.0650,0.0850,0.0080,-0.1340,0.1340
1.0000,0,0,0,0,0.0000,0.0000,0.2589,0.4639,6.4372650,28.4909730,37.10,2,67,1,0.83880,293.973360,50.531910,15.385,16.618,15.383,14.857,14.592,13.405,12.775,12.589,0.000,19.598247000,50.53192000,0.78000,0.05000,-7.600000e-04,1.450000e-03,0.2000,-0.1700,0.2600,0.2800,-0.2300,0.3600
1.0000,0,0,0,0,0.0000,0.0000,0.2589,0.4639,5.4467640,21.6585370,30.30,2,126,2,0.00880,293.973360,50.531910,15.385,16.618,15.383,14.857,14.592,13.405,12.775,12.589,0.000,19.598212000,50.53192000,-0.42000,0.02000,5.300000e-04,1.160000e-03,0.1100,-0.2300,0.2500,0.1700,-0.2300,0.2800
